K,seed,germ_band_push,noise_scale,dt,t_final,folder_name
6e-05,0,0.0,1e-05,1e-05,1000.0,K_6e-05_seed_0_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,1,0.05,1e-05,1e-05,1000.0,K_8e-05_seed_1_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,2,0.1,1e-05,1e-05,1000.0,K_8e-05_seed_2_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,3,0.15,1e-05,1e-05,1000.0,K_8e-05_seed_3_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,4,0.2,1e-05,1e-05,1000.0,K_8e-05_seed_4_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,5,0.25,1e-05,1e-05,1000.0,K_8e-05_seed_5_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,6,0.3,1e-05,1e-05,1000.0,K_8e-05_seed_6_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,7,0.35,1e-05,1e-05,1000.0,K_8e-05_seed_7_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,8,0.4,1e-05,1e-05,1000.0,K_8e-05_seed_8_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,9,0.35,1e-05,1e-05,1000.0,K_0.00012_seed_9_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,10,0.3,1e-05,1e-05,1000.0,K_0.00012_seed_10_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,11,0.25,1e-05,1e-05,1000.0,K_0.00012_seed_11_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,12,0.2,1e-05,1e-05,1000.0,K_0.00012_seed_12_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
