K,int_curvature_CF,seed,germ_band_push,noise_scale,dt,t_final,add_MD_bool,add_CF_bool,CF_position,t_CF,path,t_at_final,nb_folds_at_final,avg_depth_at_final,max_depth_at_final,CF_area_of_influence_ref_at_final,CF_area_of_influence_current_at_final,t_at_maxBendEnergy,nb_folds_at_maxBendEnergy,avg_depth_at_maxBendEnergy,max_depth_at_maxBendEnergy,CF_area_of_influence_ref_at_maxBendEnergy,CF_area_of_influence_current_at_maxBendEnergy
0.0001,0.5,0,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_0_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.08405858856428405,0.2773275195759425,1.1966818549745715,1.2031729387833314,399.9999997064933,1,0.08405858856428405,0.2773275195759425,1.1966818549745715,1.2031729387833314
0.0001,2.0,1,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_1_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.09553984640067709,0.3387720774241621,0.0,0.0,5.9999999999420215,1,0.020861937273020437,0.19653195270735452,0.3682098015306375,0.36755478937426095
0.0001,5.0,2,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_2_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.151840610691194,0.35541160301518177,0.0,0.0,216.00000005736183,2,0.15242818782214643,0.3944637032738463,0.0,0.0
0.0001,5.0,3,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_3_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.12278060837331158,0.3893837476588073,0.0,0.0,5.9999999999420215,1,0.018053652002767887,0.17398794367589296,0.3451966889349727,0.3478210020181857
0.0001,5.0,4,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_4_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.10087881535258664,0.351503707042275,0.0,0.0,5.9999999999420215,1,0.02553044007112183,0.2234781094967789,0.4142360267219672,0.4265195702987102
0.0001,2.0,5,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_5_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.11877425503694053,0.3864394916419059,0.0,0.0,11.999999999714875,1,0.02146339355835021,0.18795373939653345,0.3682098015306375,0.3671272128174311
0.0001,7.5,6,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_6_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.14652572786287973,0.3444646038620138,0.0,0.0,144.00000003450805,2,0.15151906536637683,0.39420704881638946,0.0,0.0
0.0001,7.5,7,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_7_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.12075198737084718,0.3951532233402948,0.0,0.0,5.9999999999420215,1,0.021382263865240336,0.19566547499877904,0.3682098015306375,0.3841901023518114
0.0001,7.5,8,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_8_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.10352500403448028,0.3550380337356632,0.0,0.0,5.9999999999420215,1,0.028729585079230947,0.2399135891522735,0.4602622519132969,0.478123046592618
0.0001,2.0,9,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_9_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.17308834775440535,0.3937390268955542,2.0251539084185066,2.0885027310382305,389.9999997317409,1,0.1736422172069348,0.3991160096929758,2.0251539084185066,2.084941165562953
0.0001,0.5,10,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_10_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.10939487070176904,0.36882896501857343,1.1736687423789067,1.1804357757304258,17.99999999948773,1,0.020366278949537516,0.17889070928595865,0.3682098015306375,0.35853474860220047
0.0001,0.5,11,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_11_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.0963585976502454,0.3358065571342949,1.2657211927615657,1.27721078128338,5.9999999999420215,1,0.012676505170329564,0.1475834827699385,0.2761573511479781,0.267214153550889
0.0001,5.0,12,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_12_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.12027612057479821,0.3887209075966782,0.0,0.0,5.9999999999420215,1,0.01833360610118581,0.17601000384484355,0.3451966889349727,0.35030609870406143
0.0001,0.5,13,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_13_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.10971165536420996,0.37069153997826554,1.2196949675702362,1.2236415168704626,23.999999999260588,1,0.023568575602416306,0.19859340189613317,0.4142360267219672,0.40642868834712575
