K,int_curvature_CF,seed,germ_band_push,noise_scale,dt,t_final,add_CF_bool,CF_position,t_CF,t_MD,path,t_at_final,nb_folds_at_final,avg_depth_at_final,max_depth_at_final,CF_area_of_influence_ref_at_final,CF_area_of_influence_current_at_final,t_at_maxBendEnergy_afterMD,nb_folds_at_maxBendEnergy_afterMD,avg_depth_at_maxBendEnergy_afterMD,max_depth_at_maxBendEnergy_afterMD,CF_area_of_influence_ref_at_maxBendEnergy_afterMD,CF_area_of_influence_current_at_maxBendEnergy_afterMD
0.0001,2.0,0,0.0,1e-05,1e-05,1000.0,1.0,0.17,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_0_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.17_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.1120396549197134,0.3929489411198142,0.0,0.0,102.00000002117667,1,0.028727595990646206,0.2401694861583779,0.0,0.0
0.0001,2.0,1,0.2,1e-05,1e-05,1000.0,1.0,0.7,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_1_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.7_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.1078269184160293,0.38504479431496663,1.2887343053572313,1.2850059586511202,42.000000002131856,1,0.020686010663923737,0.21202021292035167,0.4142360267219672,0.4091887081415258
0.0001,2.0,2,0.2,1e-05,1e-05,1000.0,1.0,0.7,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_2_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.7_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.10905212226956351,0.39004067783417384,1.2887343053572313,1.2948181720592826,23.999999999260588,1,0.027718230157064996,0.24053702138634311,0.5062884771046265,0.5009296567933624
0.0001,2.0,3,0.2,1e-05,1e-05,1000.0,1.0,0.8,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_3_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.8_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.09942757039502188,0.3867541506687641,1.1736687423789067,1.1762793593561163,29.99999999903344,1,0.015614298911926006,0.17643300349254634,0.3451966889349727,0.33700081967028755
0.0001,2.0,4,0.2,1e-05,1e-05,1000.0,1.0,0.8,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_4_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.8_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.09720569532187634,0.38145545664634006,1.1736687423789067,1.1802703633597271,42.000000002131856,1,0.03751711013402413,0.27646686905669265,0.598340927487286,0.5964597500678134
0.0001,2.0,5,0.2,1e-05,1e-05,1000.0,1.0,0.9,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_5_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.9_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.08990377639776262,0.37223288488084516,1.0586031794005826,1.063286101827918,317.99999991352337,1,0.04054725279594371,0.29331405255202975,0.6213540400829508,0.6255317659702812
0.0001,2.0,6,0.2,1e-05,1e-05,1000.0,1.0,0.9,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_6_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.9_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.09429189198793854,0.37940767946994286,1.150655629783242,1.1541393866324297,72.00000001165427,1,0.03900502967659354,0.28969200616786656,0.598340927487286,0.601061266162228
0.0001,2.0,7,0.4,1e-05,1e-05,1000.0,1.0,0.17,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_7_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.17_t_CF_0.0_t_MD_0.0/,999.999998191639,2,0.07872703056408063,0.27096591998374947,0.0,0.0,755.9999988076797,1,0.01651611792501116,0.19036287915929748,0.0,0.0
0.0001,2.0,8,0.4,1e-05,1e-05,1000.0,1.0,0.17,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_8_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.17_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.07124637397512376,0.27023784177327126,1.1966818549745715,1.207222273208639,5.9999999999420215,1,0.02226851555913767,0.21000516190259821,0.4602622519132969,0.45647028572992354
0.0001,2.0,9,0.4,1e-05,1e-05,1000.0,1.0,0.27,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_9_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.27_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.13399651103571164,0.3908214359189862,0.0,0.0,186.00000004783942,1,0.01609309929846058,0.18814651267772078,0.0,0.0
