K,int_curvature_CF,seed,germ_band_push,noise_scale,dt,t_final,add_CF_bool,t_CF,t_MD,path,t_at_final,nb_folds_at_final,avg_depth_at_final,max_depth_at_final,CF_area_of_influence_ref_at_final,CF_area_of_influence_current_at_final,t_at_maxBendEnergy_afterMD,nb_folds_at_maxBendEnergy_afterMD,avg_depth_at_maxBendEnergy_afterMD,max_depth_at_maxBendEnergy_afterMD,CF_area_of_influence_ref_at_maxBendEnergy_afterMD,CF_area_of_influence_current_at_maxBendEnergy_afterMD
0.0001,0.5,0,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_0_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.09887308843305154,0.3924768568488591,1.1046294045919125,1.103104970635914,473.9999995196612,1,0.024191732091832677,0.2210059649405957,0.43724913931763204,0.4310492960529698
0.0001,5.0,1,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_1_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/,999.999998191639,2,0.09229576162697259,0.34755940153044784,0.0,0.0,5.9999999999420215,1,0.02759124735501755,0.23341842842555885,0.5293015897002914,0.5132915098509014
0.0001,5.0,2,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_2_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/,999.999998191639,2,0.09540420571565301,0.35096300419187104,0.0,0.0,17.99999999948773,1,0.020749733599121658,0.2110262980068095,0.43724913931763204,0.4381591031434572
0.0001,5.0,3,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_3_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.10430039334039595,0.3781839379394351,1.4498260935268845,1.4492075808423284,5.9999999999420215,1,0.020936722216832286,0.20222314061826677,0.4142360267219672,0.3912872129444124
0.0001,5.0,4,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_4_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.10435223218594675,0.3785422218580369,1.403799868335555,1.4001427840967668,11.999999999714875,1,0.015198955813396864,0.1807461631338856,0.32218357633930783,0.3160905567578711
0.0001,5.0,5,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_5_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.10936426993579008,0.39929930544003533,1.242708080165901,1.2406243404912318,11.999999999714875,1,0.01962887998620141,0.19561183668103527,0.39122291412630233,0.3840232523682231
0.0001,5.0,6,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_6_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.11249986866728155,0.3965482111760593,1.2887343053572313,1.2867505640591388,29.99999999903344,1,0.023333794662702592,0.2183412124563457,0.43724913931763204,0.4293555801027843
0.0001,1.0,7,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_7_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.11147125804561137,0.3909951325711111,1.2887343053572313,1.2897596507243052,11.999999999714875,1,0.012068304644212793,0.14459920247781102,0.299170463743643,0.28562331706935645
0.0001,2.0,8,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_8_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/,999.999998191639,2,0.08847647770150699,0.3431215905560313,0.0,0.0,5.9999999999420215,1,0.0248008424028649,0.21564454154950302,0.5062884771046265,0.5004572044241107
0.0001,2.0,9,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_9_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.13466700090247447,0.38951591273471003,1.5418785439095444,1.5452531094116815,186.00000004783942,1,0.016063119905756394,0.1879652106212482,0.0,0.0
