K,int_curvature_CF,seed,germ_band_push,noise_scale,dt,t_final,add_CF_bool,t_CF,t_MD,folder_name
0.0001,0.5,0,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_0_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,1,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_1_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,5.0,2,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_2_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,3,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_3_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,5.0,4,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_4_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,5,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_5_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,5.0,6,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_6_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,7,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_7_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,8,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_8_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,9,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_9_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,2.0,10,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_10_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,11,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_11_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,2.0,12,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_12_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,13,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_13_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,2.0,14,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_14_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,15,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_15_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,16,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_16_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,17,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_17_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,18,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_18_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,19,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_19_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,20,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_20_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,21,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_21_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,22,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_22_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,23,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_23_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,24,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_24_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,0.5,25,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_25_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,0.5,26,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_26_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,0.5,27,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_27_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,0.5,28,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_28_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,0.5,29,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_29_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,0.5,30,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_30_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,0.5,31,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_31_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,32,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_32_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,33,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_33_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,5.0,34,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_34_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,35,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_35_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,5.0,36,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_36_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,37,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_37_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,0.5,38,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_38_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,0.5,39,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_39_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,0.5,40,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_40_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,41,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_41_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
